epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1296.74,1.4711,1.03873,1.50852,0.84106,0.85697,0.89196,0.41407,1.81504,0.99285,1.7329,0.00103987,0.00103987,0.00103987
78,1313.25,1.49362,1.04185,1.52396,0.87041,0.8019,0.89288,0.40874,1.80285,1.08966,1.73539,0.00103162,0.00103162,0.00103162
79,1329.29,1.4552,1.00999,1.50094,0.84616,0.83102,0.89714,0.40892,1.83855,1.10413,1.77862,0.00102337,0.00102337,0.00102337
80,1345.48,1.50858,1.01129,1.52915,0.87001,0.79381,0.88616,0.40529,1.81629,1.06386,1.77203,0.00101512,0.00101512,0.00101512
81,1361.51,1.50256,1.0493,1.51135,0.83494,0.82825,0.89396,0.40162,1.81075,1.08936,1.74119,0.00100687,0.00100687,0.00100687
82,1377.48,1.47239,1.0175,1.49843,0.82636,0.85572,0.9064,0.39709,1.8759,1.07207,1.8066,0.000998616,0.000998616,0.000998616
83,1393.48,1.51918,1.02745,1.54166,0.84142,0.8768,0.90715,0.43129,1.79253,0.99615,1.7316,0.000990365,0.000990365,0.000990365
84,1409.48,1.47241,1.0329,1.51081,0.86582,0.83453,0.89939,0.41216,1.81943,1.05126,1.76071,0.000982113,0.000982113,0.000982113
85,1425.53,1.46489,1.02523,1.51493,0.82649,0.83812,0.87336,0.38977,1.88147,1.11922,1.84191,0.000973861,0.000973861,0.000973861
86,1441.62,1.44844,1.00779,1.49439,0.84903,0.8218,0.8863,0.4051,1.81631,1.09593,1.7622,0.00096561,0.00096561,0.00096561
87,1457.62,1.46746,1.0036,1.49574,0.85742,0.81348,0.88703,0.40616,1.82143,1.05706,1.77072,0.000957358,0.000957358,0.000957358
88,1473.73,1.47152,0.98941,1.49536,0.84185,0.86808,0.91816,0.42224,1.87151,1.05279,1.78296,0.000949106,0.000949106,0.000949106
89,1489.83,1.49859,0.99758,1.5132,0.87132,0.81039,0.90966,0.41722,1.8123,1.057,1.73972,0.000940855,0.000940855,0.000940855
90,1505.96,1.45947,0.97486,1.48208,0.88161,0.81255,0.9074,0.40978,1.85929,0.98837,1.77932,0.000932603,0.000932603,0.000932603
91,1521.98,1.46381,0.96962,1.48708,0.85858,0.82989,0.91624,0.4187,1.84109,0.98296,1.75205,0.000924352,0.000924352,0.000924352
92,1537.99,1.47559,0.99271,1.50034,0.83889,0.80218,0.8852,0.38202,1.94536,1.05186,1.83277,0.0009161,0.0009161,0.0009161
93,1554,1.47431,0.99446,1.49517,0.87576,0.8252,0.91351,0.41795,1.85169,0.98192,1.77364,0.000907848,0.000907848,0.000907848
94,1569.99,1.45316,0.95755,1.49646,0.84744,0.823,0.88706,0.39418,1.87571,1.02539,1.81739,0.000899597,0.000899597,0.000899597
95,1585.98,1.50344,0.99351,1.51975,0.84771,0.84107,0.91637,0.41885,1.83496,1.03835,1.75391,0.000891345,0.000891345,0.000891345
96,1603.11,1.47158,0.98373,1.49099,0.89001,0.83933,0.9306,0.42492,1.85101,0.96683,1.7706,0.000883093,0.000883093,0.000883093
97,1619.86,1.47378,0.94191,1.49876,0.87966,0.8489,0.92781,0.41762,1.85832,0.97935,1.79099,0.000874842,0.000874842,0.000874842
98,1636.58,1.47362,0.98304,1.51204,0.84294,0.92141,0.91699,0.43181,1.79743,0.92386,1.73995,0.00086659,0.00086659,0.00086659
99,1653.29,1.4671,1.01136,1.50901,0.8787,0.78702,0.89316,0.40831,1.86434,1.07772,1.82059,0.000858338,0.000858338,0.000858338
100,1670,1.45684,0.97281,1.49509,0.85402,0.85623,0.92254,0.41606,1.89929,0.99298,1.79357,0.000850087,0.000850087,0.000850087
101,1686.65,1.48583,0.97416,1.50979,0.88377,0.82514,0.91336,0.41743,1.88633,0.99001,1.80831,0.000841835,0.000841835,0.000841835
102,1703.31,1.47645,1.02046,1.51912,0.87314,0.80896,0.90533,0.39579,1.8661,1.0412,1.86892,0.000833583,0.000833583,0.000833583
103,1720,1.46304,0.95331,1.51227,0.8566,0.84718,0.91877,0.41444,1.8447,1.00111,1.77746,0.000825332,0.000825332,0.000825332
104,1736.64,1.44802,0.92131,1.48436,0.86337,0.86616,0.92172,0.42231,1.83451,0.91817,1.77957,0.00081708,0.00081708,0.00081708
